strategy,games,wins,draws,losses,points,first_games,first_points,second_games,second_points,rank
alpha_zero,12,3,9,0,18,6,10,6,8,1
mcts,12,3,9,0,18,6,10,6,8,2
heuristic,12,2,10,0,16,6,8,6,8,3
random,12,0,4,8,4,6,3,6,1,4
